Zipcode,State_Abbrev,City,County,State_Rate,City/CountyRates,Combined_Rate
35772,AL,Stevenson,Jackson,0.04,0.049999999999999996,0.09
35773,AL,Toney,Madison,0.04,0.015,0.055
35774,AL,Trenton,Jackson,0.04,0.019999999999999997,0.06
35775,AL,Valhermoso Springs,Morgan,0.04,0.030000000000000006,0.07
35776,AL,Woodville,Jackson,0.04,0.049999999999999996,0.09
35801,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35802,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35803,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35804,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35805,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35806,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35807,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35808,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35809,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35810,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35811,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35812,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35813,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35814,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35815,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35816,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35824,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35893,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35894,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35895,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35896,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35897,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35898,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35899,AL,Huntsville,Madison,0.04,0.049999999999999996,0.09
35901,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35902,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35903,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35904,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35905,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35906,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35907,AL,Gadsden,Etowah,0.04,0.060000000000000005,0.1
35906,AL,Rainbow City,Etowah,0.04,0.049999999999999996,0.09
35950,AL,Albertville,Marshall,0.04,0.049999999999999996,0.09
35951,AL,Albertville,Marshall,0.04,0.049999999999999996,0.09
35952,AL,Altoona,Etowah,0.04,0.04,0.08
35953,AL,Ashville,Saint Clair,0.04,0.060000000000000005,0.1
35954,AL,Attalla,Etowah,0.04,0.060000000000000005,0.1
35956,AL,Boaz,Etowah,0.04,0.049999999999999996,0.09
35957,AL,Boaz,Marshall,0.04,0.049999999999999996,0.09
35958,AL,Bryant,Jackson,0.04,0.019999999999999997,0.06
35959,AL,Cedar Bluff,Cherokee,0.04,0.060000000000000005,0.1
35960,AL,Centre,Cherokee,0.04,0.060000000000000005,0.1
35961,AL,Collinsville,De Kalb,0.04,0.049999999999999996,0.09
35962,AL,Crossville,De Kalb,0.04,0.04,0.08
35963,AL,Dawson,De Kalb,0.04,0.010000000000000002,0.05
35964,AL,Douglas,Marshall,0.04,0.04,0.08
35966,AL,Flat Rock,Jackson,0.04,0.019999999999999997,0.06
35967,AL,Fort Payne,De Kalb,0.04,0.049999999999999996,0.09
35968,AL,Fort Payne,De Kalb,0.04,0.049999999999999996,0.09
35971,AL,Fyffe,De Kalb,0.04,0.049999999999999996,0.09
35972,AL,Gallant,Etowah,0.04,0.010000000000000002,0.05
35973,AL,Gaylesville,Cherokee,0.04,0.055,0.095
35974,AL,Geraldine,De Kalb,0.04,0.049999999999999996,0.09
35976,AL,Guntersville,Marshall,0.04,0.049999999999999996,0.09
35978,AL,Henagar,De Kalb,0.04,0.049999999999999996,0.09
35979,AL,Higdon,Jackson,0.04,0.019999999999999997,0.06
35980,AL,Horton,Marshall,0.04,0.010000000000000002,0.05
35981,AL,Ider,De Kalb,0.04,0.049999999999999996,0.09
35983,AL,Leesburg,Cherokee,0.04,0.049999999999999996,0.09
35984,AL,Mentone,De Kalb,0.04,0.049999999999999996,0.09
35986,AL,Rainsville,De Kalb,0.04,0.049999999999999996,0.09
35987,AL,Steele,Saint Clair,0.04,0.04,0.08
35988,AL,Sylvania,De Kalb,0.04,0.049999999999999996,0.09
35989,AL,Valley Head,De Kalb,0.04,0.049999999999999996,0.09
35990,AL,Walnut Grove,Etowah,0.04,0.04,0.08
36003,AL,Autaugaville,Autauga,0.04,0.060000000000000005,0.1
36005,AL,Banks,Pike,0.04,0.045000000000000005,0.085
36006,AL,Billingsley,Autauga,0.04,0.019999999999999997,0.06
36008,AL,Booth,Autauga,0.04,0.019999999999999997,0.06
36009,AL,Brantley,Crenshaw,0.04,0.060000000000000005,0.1
36010,AL,Brundidge,Pike,0.04,0.055,0.095
36013,AL,Cecil,Montgomery,0.04,0.025,0.065
36015,AL,Chapman,Butler,0.04,0.015,0.055
